,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
299,agulu,6.11,7.0724,77.29,84,40,7.65,NG,1616807086
300,tezu,27.9167,96.1667,76.55,18,0,1.9,IN,1616807146
301,khanpur,28.6453,70.6567,76.98,24,0,7.02,PK,1616807146
302,mosquera,4.7059,-74.2302,59.0,77,40,4.61,CO,1616807147
303,ambilobe,-13.2,49.05,73.33,94,100,1.63,MG,1616807147
304,port-cartier,50.0334,-66.8654,30.2,55,100,12.66,CA,1616807147
305,brownsville,25.9018,-97.4975,77.0,78,1,11.5,US,1616807148
306,inta,66.0317,60.1659,13.14,95,100,9.93,RU,1616807148
307,port elizabeth,-33.918,25.5701,66.2,72,0,17.27,ZA,1616807005
308,tiksi,71.6872,128.8694,12.45,89,100,6.8,RU,1616806994
309,karatsu,33.4425,129.9697,64.4,63,0,3.44,JP,1616807148
310,ferme-neuve,46.7001,-75.4493,33.8,93,100,6.91,CA,1616807149
311,utena,55.5,25.6,38.62,80,90,6.73,LT,1616807149
312,clyde river,70.4692,-68.5914,-14.8,70,1,3.44,CA,1616807149
313,lagoa,39.05,-27.9833,56.79,62,98,6.96,PT,1616806851
314,rudbar,30.15,62.6,78.26,16,0,8.37,AF,1616807150
315,weston,26.1004,-80.3998,78.01,83,1,6.91,US,1616806933
316,elizabeth city,36.2946,-76.2511,75.2,69,1,11.5,US,1616806911
317,bhachau,23.2833,70.35,76.89,41,0,9.17,IN,1616807150
318,koflach,47.0667,15.0833,46.99,81,75,1.14,AT,1616807151
319,nikolskoye,59.7035,30.7861,34.0,93,75,2.24,RU,1616807151
320,camacha,33.0833,-16.3333,64.4,88,40,13.8,PT,1616807031
321,mumford,5.2618,-0.759,79.63,87,1,8.03,GH,1616807152
322,jatiroto,-7.8833,111.1167,79.57,80,99,1.97,ID,1616807152
323,domoni,-12.2569,44.5319,79.83,82,100,3.11,KM,1616807152
324,saint-joseph,-21.3667,55.6167,77.0,73,9,5.75,RE,1616807152
325,bayanday,53.0661,105.5139,28.11,83,100,14.74,RU,1616807153
326,ponta delgada,37.7333,-25.6667,55.4,76,20,8.05,PT,1616807031
327,cayeli,41.0923,40.7292,39.72,97,100,5.08,TR,1616807153
328,matamoros,25.5333,-103.25,89.6,5,75,4.25,MX,1616807154
329,neuquen,-38.9516,-68.0591,55.4,71,0,9.01,AR,1616807154
330,kushmurun,52.4503,64.6311,28.58,97,100,5.88,KZ,1616807154
331,angoram,-4.0625,144.0661,87.57,64,100,2.46,PG,1616807155
332,huarmey,-10.0681,-78.1522,70.97,80,59,7.31,PE,1616807155
333,guerrero negro,27.9769,-114.0611,59.67,63,0,17.13,MX,1616807033
334,mahebourg,-20.4081,57.7,75.2,88,20,6.91,MU,1616807155
335,santa rosa,14.3122,121.1114,87.01,65,20,3.44,PH,1616807156
336,teya,60.3778,92.6267,22.24,90,100,8.84,RU,1616807156
337,necochea,-38.5473,-58.7368,62.01,87,100,8.01,AR,1616807156
338,green river,41.5286,-109.4662,39.0,55,1,14.97,US,1616806890
339,bambous virieux,-20.3428,57.7575,75.99,88,20,6.91,MU,1616807023
340,raga,8.4596,25.678,73.69,74,93,4.23,SS,1616807157
341,fairbanks,64.8378,-147.7164,28.0,54,90,6.91,US,1616806897
342,saint-francois,46.4154,3.9054,46.4,81,75,19.57,FR,1616807157
343,sinnamary,5.3833,-52.95,77.45,83,52,10.29,GF,1616807158
344,sitka,57.0531,-135.33,41.0,87,90,5.75,US,1616807158
345,atar,20.5169,-13.0499,78.78,15,1,7.16,MR,1616807158
346,verkhnevilyuysk,63.4453,120.3167,18.23,91,83,7.52,RU,1616807158
347,tramore,52.1624,-7.1524,37.99,84,28,4.0,IE,1616807159
348,kerman,30.2832,57.0788,62.6,31,0,4.61,IR,1616807159
349,poronaysk,49.2167,143.1167,25.74,82,6,3.83,RU,1616807159
350,college,64.8569,-147.8028,28.0,54,90,3.44,US,1616806990
351,moose factory,51.2585,-80.6094,12.2,67,1,6.91,CA,1616807035
352,slavutych,51.5196,30.7343,37.44,93,100,4.07,UA,1616807220
353,thinadhoo,0.5333,72.9333,81.59,73,23,7.76,MV,1616806966
354,tilichiki,60.4667,166.1,5.58,82,6,4.07,RU,1616807220
355,hami,42.8,93.45,55.4,37,73,9.15,CN,1616807221
356,tuxtepec,18.1,-96.1167,80.85,55,0,8.05,MX,1616806973
357,ternate,0.8,127.4,82.0,79,84,8.21,ID,1616807221
358,rock sound,24.9,-76.2,77.25,76,0,11.79,BS,1616807222
359,enid,36.3956,-97.8784,64.4,55,1,10.36,US,1616807222
360,imeni poliny osipenko,52.4201,136.4853,26.6,82,63,1.57,RU,1616807222
361,nelson bay,-32.7167,152.15,77.0,50,1,10.36,AU,1616807222
362,calama,-22.4667,-68.9333,60.8,20,0,10.36,CL,1616807047
363,leeton,-34.5667,146.4,72.0,64,75,12.66,AU,1616807223
364,kununurra,-15.7667,128.7333,86.0,74,97,6.91,AU,1616807007
365,coahuayana,18.7333,-103.6833,75.2,53,75,3.02,MX,1616807064
