,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
333,oktyabrskoye,43.0645,44.7417,26.6,93,6,6.71,RU,1617062828
334,monster,52.0258,4.175,50.0,70,18,8.05,NL,1617062828
336,aksu,41.1231,80.2644,45.52,62,56,2.95,CN,1617062829
337,san pedro,14.35,121.0167,84.99,61,40,5.75,PH,1617062829
338,dunedin,-45.8742,170.5036,57.99,82,100,15.01,NZ,1617062830
339,batticaloa,7.7102,81.6924,77.47,79,63,3.33,LK,1617062830
340,goure,13.9835,10.2704,75.0,10,0,11.01,NE,1617062830
341,batemans bay,-35.7167,150.1833,64.99,58,35,3.0,AU,1617062831
342,viedma,-40.8135,-62.9967,60.06,79,26,10.04,AR,1617062831
343,raudeberg,61.9875,5.1352,44.01,83,100,30.98,NO,1617062831
344,guerrero negro,27.9769,-114.0611,69.67,48,100,15.35,MX,1617062832
345,lasa,46.6166,10.7002,48.0,45,37,2.82,IT,1617062832
346,ixtapa,20.7,-105.2,77.0,65,1,11.5,MX,1617062327
347,aksarayskiy,46.7924,48.0119,33.8,75,0,4.47,RU,1617062832
348,moron,-34.6534,-58.6198,70.0,78,73,5.7,AR,1617062833
349,pesqueira,-8.3578,-36.6964,70.45,94,68,5.59,BR,1617062644
350,ulaangom,49.9811,92.0667,19.13,68,27,5.14,MN,1617062893
351,moose factory,51.2585,-80.6094,23.0,63,1,13.8,CA,1617062893
352,eureka,40.8021,-124.1637,57.0,63,4,10.0,US,1617062894
353,puerto baquerizo moreno,-0.9,-89.6,78.62,79,34,8.3,EC,1617062894
354,mackenzie,55.2999,-123.1698,32.0,34,1,3.44,CA,1617062894
355,lorengau,-2.0226,147.2712,83.66,74,100,5.35,PG,1617062894
356,ternate,0.8,127.4,76.06,87,100,6.38,ID,1617062895
357,tam ky,15.5667,108.4833,77.0,94,40,2.3,VN,1617062895
358,zaysan,47.4667,84.8667,21.51,84,86,4.65,KZ,1617062895
359,nata,8.3333,-80.5167,78.01,46,5,13.38,PA,1617062896
360,chinsali,-10.5414,32.0816,62.83,92,98,8.08,ZM,1617062896
361,pyu,18.4833,96.4333,75.49,73,87,3.22,MM,1617062896
362,madinat sittah uktubar,29.8167,31.05,55.4,62,40,9.22,EG,1617062897
363,nanortalik,60.1432,-45.2371,28.22,59,78,8.23,GL,1617062897
364,kalmunai,7.4167,81.8167,76.71,82,66,5.41,LK,1617062897
365,swan river,52.1058,-101.2676,33.8,86,100,12.66,CA,1617062898
366,sangmelima,2.9333,11.9833,66.67,97,26,2.57,CM,1617062898
367,shakawe,-18.3667,21.85,64.45,77,29,4.72,BW,1617062898
368,zeya,53.75,127.2667,31.3,68,86,3.94,RU,1617062898
369,kununurra,-15.7667,128.7333,80.6,65,61,5.75,AU,1617062807
370,guasdualito,7.2424,-70.7324,82.49,62,81,3.83,VE,1617062899
371,fort dodge,42.4975,-94.168,71.6,30,1,25.32,US,1617062899
372,gat,31.61,34.7642,52.0,74,5,4.59,IL,1617062700
373,richards bay,-28.783,32.0377,65.64,84,75,4.12,ZA,1617062779
374,snezhnogorsk,69.1933,33.2531,33.8,93,75,8.95,RU,1617062900
375,antalaha,-14.9003,50.2788,75.54,92,80,2.86,MG,1617062900
